repo,stars,forks,pull_requests,pScore,pScore_normalized,popular
echarts,62125,19696,30,82721,1.0,1
superset,64987,14678,30,80565,0.9739364852939398,1
spark,40744,28550,30,70194,0.8485632427074141,1
dubbo,40819,26504,30,68223,0.8247361613133304,1
airflow,39190,14797,30,54887,0.6635195415916152,1
kafka,29661,14238,30,44799,0.5415674375309776,1
flink,24635,13558,30,39093,0.47258858089239736,1
Jaxme,31659,2947,30,35506,0.4292259522974819,1
rocketmq,21612,11808,30,34320,0.41488860144340617,1
Ibatis,19997,12924,30,33821,0.40885627591542656,1
skywalking,24155,6567,30,31622,0.3822729415746908,1
mxnet,20788,6770,30,28458,0.34402388752553764,1
shardingsphere,20116,6792,30,27808,0.33616614886183677,1
brpc,16814,4013,30,21727,0.26265398145573676,1
zipkin,17143,3102,30,21145,0.2556182831445461,1
pulsar,14495,3621,30,19016,0.22988116681374743,1
dolphinscheduler,13322,4735,30,18957,0.22916792591965765,1
apisix,14893,2561,30,18354,0.2218783622054859,1
druid,13639,3731,30,18270,0.22086290059356148,1
doris,13284,3409,30,17593,0.2126787635545992,1
tvm,12111,3533,30,16544,0.19999758223425732,1
Weex,13716,1805,30,16421,0.19851065630251086,1
thrift,10659,4051,30,15610,0.18870661621595483,1
predictionio,12529,1927,30,15356,0.1856360537227548,1
cassandra,9082,3674,30,13656,0.16508504490999867,1
beam,8040,4316,30,13256,0.16024951342464427,1
shenyu,8544,2974,30,12418,0.15011907496282687,1
storm,6614,4077,30,11591,0.14012161361685666,1
iceberg,7028,2431,30,10359,0.12522817664196517,1
zeppelin,6468,2816,30,10184,0.12311263161712262,1
hudi,5692,2466,30,9058,0.10950061048585003,1
nifi,5164,2772,30,8836,0.10681689051147834,1
openwhisk,6623,1173,30,8696,0.1051244544916043,1
couchdb,6431,1046,30,8377,0.1012681181320342,1
calcite,4760,2413,30,8073,0.09759311420316485,1
groovy,5264,1899,30,8063,0.097472225916031,1
pinot,5669,1341,30,7910,0.09562263512288294,1
mesos,5296,1675,30,7871,0.09515117080306089,1
ignite,4896,1912,30,7708,0.09318069172277899,1
iotdb,5711,1042,30,7653,0.09251580614354275,1
shiro,4360,2313,30,7573,0.09154869984647188,1
kylin,3682,1530,30,6112,0.07388692109621499,1
Httpd-cli,3656,1169,30,5725,0.06920854438413462,1
singa,3383,1248,30,5531,0.06686331161373775,1
linkis,3343,1168,30,5411,0.06541265216813143,1
Commons,2777,1625,30,5302,0.06409496983837236,1
