s_num_nodes,s_weighted_mean_degree,s_num_component,s_avg_clustering_coef,s_largest_component,s_graph_density,t_num_dev_nodes,t_num_file_nodes,t_num_dev_per_file,t_num_file_per_dev,t_graph_density,proj_name,month,st_num_dev,t_net_overlap,s_net_overlap,stars,forks,pull_requests,pScore,popular
13,74.15384615384616,1,0.6874625374625374,13,0.3846153846153846,2,201,1.0597014925373134,106.5,0.5298507462686567,abdera,0,1,0.0,0.0,18,24,4,58,0
15,34.13333333333333,1,0.3927513227513227,15,0.2476190476190476,3,218,1.2522935779816513,91.0,0.4174311926605504,abdera,1,2,0.191358024691358,0.1964285714285714,18,24,4,58,0
18,22.0,2,0.3998236331569664,14,0.1568627450980392,3,171,1.1403508771929824,65.0,0.3801169590643274,abdera,2,2,0.1474358974358974,0.14,18,24,4,58,0
15,22.666666666666668,1,0.4498989898989899,15,0.2285714285714285,1,195,1.0,195.0,1.0,abdera,3,0,0.2358974358974359,0.1875,18,24,4,58,0
16,19.0,2,0.163095238095238,14,0.1416666666666666,2,72,1.0694444444444444,38.5,0.5347222222222222,abdera,4,1,0.1397058823529411,0.1707317073170731,18,24,4,58,0
15,17.866666666666667,2,0.3362962962962962,13,0.1714285714285714,3,92,1.0326086956521738,31.666666666666668,0.3442028985507246,abdera,5,2,0.0755813953488372,0.1714285714285714,18,24,4,58,0
21,13.714285714285714,1,0.3286935286935287,21,0.1333333333333333,2,27,1.0,13.5,0.5,abdera,6,1,0.081967213114754,0.1304347826086956,18,24,4,58,0
10,4.8,2,0.0,8,0.1777777777777777,2,8,1.0,4.0,0.5,abdera,7,1,0.0571428571428571,0.0277777777777777,18,24,4,58,0
14,9.428571428571429,3,0.2559523809523809,10,0.1538461538461538,1,52,1.0,52.0,1.0,abdera,8,0,0.0333333333333333,0.0454545454545454,18,24,4,58,0
9,13.77777777777778,2,0.2592592592592593,6,0.25,1,103,1.0,103.0,1.0,abdera,9,0,0.1161290322580645,0.0869565217391304,18,24,4,58,0
12,9.333333333333334,1,0.2023809523809523,12,0.1969696969696969,1,52,1.0,52.0,1.0,abdera,10,0,0.1548387096774193,0.2272727272727272,18,24,4,58,0
9,15.555555555555555,1,0.2275132275132275,9,0.25,2,95,1.0105263157894735,48.0,0.5052631578947369,abdera,11,1,0.1351351351351351,0.0909090909090909,18,24,4,58,0
8,13.0,1,0.4208333333333333,8,0.3214285714285714,1,41,1.0,41.0,1.0,abdera,12,0,0.1532846715328467,0.1666666666666666,18,24,4,58,0
9,8.444444444444445,1,0.2261904761904761,9,0.25,1,169,1.0,169.0,1.0,abdera,13,0,0.119047619047619,0.1666666666666666,18,24,4,58,0
20,24.6,2,0.3743956043956044,18,0.1473684210526315,1,151,1.0,151.0,1.0,abdera,14,1,0.18125,0.1081081081081081,18,24,4,58,0
26,28.46153846153846,1,0.2350463262227968,26,0.1076923076923077,2,139,1.0071942446043165,70.0,0.5035971223021583,abdera,15,1,0.1030927835051546,0.1428571428571428,18,24,4,58,0
25,16.48,2,0.2496666666666666,22,0.1133333333333333,3,163,1.0736196319018405,58.333333333333336,0.3578732106339468,abdera,16,1,0.0857142857142857,0.1884057971014492,18,24,4,58,0
19,14.736842105263158,2,0.3012531328320802,16,0.1345029239766081,3,108,1.037037037037037,37.333333333333336,0.345679012345679,abdera,17,1,0.0975609756097561,0.1929824561403508,18,24,4,58,0
18,12.666666666666666,1,0.2754208754208754,18,0.1633986928104575,2,126,1.031746031746032,65.0,0.5158730158730159,abdera,18,0,0.1239669421487603,0.125,18,24,4,58,0
29,23.17241379310345,1,0.3832447921697414,29,0.1133004926108374,2,320,1.14375,183.0,0.571875,abdera,19,0,0.1048387096774193,0.0422535211267605,18,24,4,58,0
28,18.571428571428573,1,0.4376932591218305,28,0.119047619047619,2,117,1.1367521367521367,66.5,0.5683760683760684,abdera,20,0,0.1402805611222445,0.1538461538461538,18,24,4,58,0
23,16.695652173913043,1,0.326771778945692,23,0.1304347826086956,2,88,1.056818181818182,46.5,0.5284090909090909,abdera,21,0,0.1814159292035398,0.1794871794871795,18,24,4,58,0
30,15.333333333333334,1,0.3065608465608466,30,0.1149425287356321,2,17,1.0588235294117647,9.0,0.5294117647058824,abdera,22,0,0.045045045045045,0.216867469879518,18,24,4,58,0
26,12.76923076923077,1,0.3135864135864136,26,0.1169230769230769,1,36,1.0,36.0,1.0,abdera,23,0,0.0185185185185185,0.1363636363636363,18,24,4,58,0
22,11.272727272727272,2,0.0935064935064935,20,0.1255411255411255,3,12,1.0,4.0,0.3333333333333333,abdera,24,1,0.0625,0.0597014925373134,18,24,4,58,0
22,10.0,2,0.135064935064935,16,0.1038961038961039,2,64,1.0,32.0,0.5,abdera,25,1,0.0,0.0188679245283018,18,24,4,58,0
16,6.75,3,0.0,8,0.1083333333333333,1,8,1.0,8.0,1.0,abdera,26,1,0.0555555555555555,0.1081081081081081,18,24,4,58,0
12,4.0,4,0.0,5,0.1212121212121212,1,3,1.0,3.0,1.0,abdera,27,1,0.0909090909090909,0.0,18,24,4,58,0
12,6.0,2,0.0,10,0.1515151515151515,1,7,1.0,7.0,1.0,abdera,28,1,0.1,0.0,18,24,4,58,0
10,17.6,1,0.5859523809523809,10,0.4888888888888889,4,337,1.1483679525222552,96.75,0.2870919881305638,accumulo,0,2,0.0,0.0,1090,455,30,2445,1
65,18.892307692307693,1,0.1687109471724856,65,0.0610576923076923,6,299,1.5217391304347827,75.83333333333333,0.2536231884057971,accumulo,1,3,0.0700712589073634,0.0536912751677852,1090,455,30,2445,1
64,19.4375,1,0.1566964285714285,64,0.0615079365079365,5,169,1.118343195266272,37.8,0.2236686390532544,accumulo,2,4,0.0760869565217391,0.1633466135458167,1090,455,30,2445,1
65,13.538461538461538,3,0.1098390498390498,61,0.0475961538461538,4,252,1.3333333333333333,84.0,0.3333333333333333,accumulo,3,2,0.0952380952380952,0.147982062780269,1090,455,30,2445,1
58,21.103448275862068,2,0.045183360700602,39,0.0641258318209316,5,181,1.4806629834254144,53.6,0.2961325966850828,accumulo,4,3,0.0480132450331125,0.1463414634146341,1090,455,30,2445,1
72,14.11111111111111,1,0.0828302869969536,72,0.0422535211267605,7,366,1.2021857923497268,62.857142857142854,0.1717408274785324,accumulo,5,6,0.0706214689265536,0.1401869158878504,1090,455,30,2445,1
4,10.0,1,0.0,4,0.5,1,1,1.0,1.0,1.0,ace,0,1,0.0,0.0,27,23,16,306,0
4,9.0,1,0.5833333333333334,4,0.6666666666666666,1,266,1.0,266.0,1.0,ace,1,1,0.0,0.1428571428571428,27,23,16,306,0
11,16.727272727272727,1,0.1151515151515151,11,0.2,1,57,1.0,57.0,1.0,ace,2,1,0.0309597523219814,0.1333333333333333,27,23,16,306,0
7,5.714285714285714,1,0.0,7,0.2857142857142857,2,7,1.0,3.5,0.5,ace,3,1,0.0625,0.1764705882352941,27,23,16,306,0
2,4.0,1,0.0,2,1.0,0,0,0.0,0.0,0.0,ace,4,0,0.0,0.1428571428571428,27,23,16,306,0
